


Tounament 1
-----------------------
Agent 8	Naive_D	176.0
Agent 2	Advanced_E	176.0
Agent 1	Advanced_E	176.0
Agent 7	Naive_C	96.0

Statistics 
 Min : 96.0
Average : 204.75
Max : 267.0


Tounament 17
-----------------------
Agent 3	Advanced_D	284.0
Agent 6	Advanced_D	282.0
Agent 4	Advanced_C	257.0
Agent 5	Advanced_C	255.0
Agent 8	Naive_D	187.0
Agent 2	Advanced_E	187.0
Agent 1	Advanced_E	187.0
Agent 7	Naive_C	102.0

Statistics 
 Min : 102.0
Average : 217.625
Max : 284.0


Tounament 18
-----------------------
Agent 3	Advanced_D	301.0
Agent 6	Advanced_D	299.0
Agent 4	Advanced_C	272.0
Agent 5	Advanced_C	270.0
Agent 8	Naive_D	198.0
Agent 2	Advanced_E	198.0
Agent 1	Advanced_E	198.0
Agent 7	Naive_C	108.0

Statistics 
 Min : 108.0
Average : 230.5
Max : 301.0


Tounament 19
-----------------------
Agent 3	Advanced_D	318.0
Agent 6	Advanced_D	316.0
Agent 4	Advanced_C	287.0
Agent 5	Advanced_C	285.0
Agent 8	Naive_D	209.0
Agent 2	Advanced_E	209.0
Agent 1	Advanced_E	209.0
Agent 7	Naive_C	114.0

Statistics 
 Min : 114.0
Average : 243.375
Max : 318.0


Tounament 20
-----------------------
Agent 3	Advanced_D	335.0
Agent 6	Advanced_D	333.0
Agent 4	Advanced_C	302.0
Agent 5	Advanced_C	300.0
Agent 8	Naive_D	220.0
Agent 2	Advanced_E	220.0
Agent 1	Advanced_E	220.0
Agent 7	Naive_C	120.0

Statistics 
 Min : 120.0
Average : 256.25
Max : 335.0


Tounament 1
-----------------------
Agent 2	Advanced_C	17.0
Agent 6	Advanced_E	15.0
Agent 3	Advanced_C	14.0
Agent 5	Advanced_D	12.0
Agent 8	Naive_D	11.0
Agent 4	Advanced_E	11.0
Agent 1	Advanced_D	10.0
Agent 7	Naive_C	6.0

Statistics 
 Min : 6.0
Average : 12.0
Max : 17.0


Tounament 2
-----------------------
Agent 2	Advanced_C	32.0
Agent 5	Advanced_D	29.0
Agent 3	Advanced_C	29.0
Agent 1	Advanced_D	27.0
Agent 6	Advanced_E	26.0
Agent 8	Naive_D	22.0
Agent 4	Advanced_E	22.0
Agent 7	Naive_C	12.0

Statistics 
 Min : 12.0
Average : 24.875
Max : 32.0


Tounament 3
-----------------------
Agent 2	Advanced_C	47.0
Agent 5	Advanced_D	46.0
Agent 3	Advanced_C	44.0
Agent 1	Advanced_D	44.0
Agent 6	Advanced_E	37.0
Agent 8	Naive_D	33.0
Agent 4	Advanced_E	33.0
Agent 7	Naive_C	18.0

Statistics 
 Min : 18.0
Average : 37.75
Max : 47.0


Tounament 4
-----------------------
Agent 5	Advanced_D	63.0
Agent 2	Advanced_C	62.0
Agent 1	Advanced_D	61.0
Agent 3	Advanced_C	59.0
Agent 6	Advanced_E	48.0
Agent 8	Naive_D	44.0
Agent 4	Advanced_E	44.0
Agent 7	Naive_C	24.0

Statistics 
 Min : 24.0
Average : 50.625
